Year,Month,Day,Hour,Minute,DHI,Clearsky DNI,Clearsky GHI,Clearsky DHI,GHI,DNI
2022,1,11,2,0,0,0,0,0,0,0
2022,1,11,2,30,0,0,0,0,0,0
2022,1,11,3,0,0,0,0,0,0,0
2022,1,11,3,30,0,0,0,0,0,0
2022,1,11,4,0,0,0,0,0,0,0
2022,1,11,4,30,0,0,0,0,0,0
2022,1,11,5,0,0,0,0,0,0,0
2022,1,11,5,30,0,0,0,0,0,0
2022,1,11,6,0,0,0,0,0,0,0
2022,1,11,6,30,0,0,0,0,0,0
2022,1,11,7,0,0,0,0,0,0,0
2022,1,11,7,30,0,0,0,0,0,0
2022,1,11,8,0,0,0,0,0,0,0
2022,1,11,8,30,0,0,0,0,0,0
2022,1,11,9,0,0,0,0,0,0,0
2022,1,11,9,30,0,0,0,0,0,0
2022,1,11,10,0,0,0,0,0,0,0
2022,1,11,10,30,0,0,0,0,0,0
2022,1,11,11,0,0,0,0,0,0,0
2022,1,11,11,30,0,0,0,0,0,0
2022,1,11,12,0,0,0,0,0,0,0
2022,1,11,12,30,0,0,0,0,0,0
2022,1,11,13,0,0,0,0,0,0,0
2022,1,11,13,30,0,0,0,0,0,0
2022,1,11,14,0,0,0,0,0,0,0
2022,1,11,14,30,0,0,0,0,0,0
2022,1,11,15,0,9,317,19,12,9,1
2022,1,11,15,30,59,609,94,27,64,44
2022,1,11,16,0,37,761,185,37,185,761
2022,1,11,16,30,43,851,276,43,276,851
2022,1,11,17,0,108,900,356,47,338,668
2022,1,11,17,30,51,940,430,51,430,940
2022,1,11,18,0,54,966,492,54,492,966
2022,1,11,18,30,56,984,541,56,541,984
2022,1,11,19,0,58,995,574,58,574,995
2022,1,11,19,30,59,1001,592,59,592,1001
2022,1,11,20,0,60,1000,593,60,593,1000
2022,1,11,20,30,59,995,578,59,578,995
2022,1,11,21,0,66,958,542,66,542,958
2022,1,11,21,30,64,940,496,64,496,940
2022,1,11,22,0,61,912,437,61,437,912
2022,1,11,22,30,56,871,364,56,364,871
2022,1,11,23,0,51,810,282,51,282,810
2022,1,11,23,30,44,719,193,44,193,719
2022,1,12,0,0,33,566,103,33,103,566
2022,1,12,0,30,16,279,26,16,26,279
2022,1,12,1,0,0,0,0,0,0,0
2022,1,12,1,30,0,0,0,0,0,0
2022,1,12,2,0,0,0,0,0,0,0
2022,1,12,2,30,0,0,0,0,0,0
2022,1,12,3,0,0,0,0,0,0,0
2022,1,12,3,30,0,0,0,0,0,0
2022,1,12,4,0,0,0,0,0,0,0
2022,1,12,4,30,0,0,0,0,0,0
2022,1,12,5,0,0,0,0,0,0,0
2022,1,12,5,30,0,0,0,0,0,0
2022,1,12,6,0,0,0,0,0,0,0
2022,1,12,6,30,0,0,0,0,0,0
2022,1,12,7,0,0,0,0,0,0,0
2022,1,12,7,30,0,0,0,0,0,0
2022,1,12,8,0,0,0,0,0,0,0
2022,1,12,8,30,0,0,0,0,0,0
2022,1,12,9,0,0,0,0,0,0,0
2022,1,12,9,30,0,0,0,0,0,0
2022,1,12,10,0,0,0,0,0,0,0
2022,1,12,10,30,0,0,0,0,0,0
2022,1,12,11,0,0,0,0,0,0,0
2022,1,12,11,30,0,0,0,0,0,0
2022,1,12,12,0,0,0,0,0,0,0
2022,1,12,12,30,0,0,0,0,0,0
2022,1,12,13,0,0,0,0,0,0,0
2022,1,12,13,30,0,0,0,0,0,0
2022,1,12,14,0,0,0,0,0,0,0
2022,1,12,14,30,0,0,0,0,0,0
2022,1,12,15,0,12,222,18,12,18,222
2022,1,12,15,30,30,518,87,30,87,518
2022,1,12,16,0,41,683,175,41,175,683
2022,1,12,16,30,49,780,263,49,263,780
2022,1,12,17,0,54,845,345,54,345,845
2022,1,12,17,30,58,887,418,58,418,887
2022,1,12,18,0,59,922,479,59,479,922
2022,1,12,18,30,61,942,526,61,526,942
2022,1,12,19,0,62,961,562,62,562,961
2022,1,12,19,30,62,967,579,62,579,967
2022,1,12,20,0,62,968,581,62,581,968
2022,1,12,20,30,62,963,566,62,566,963
2022,1,12,21,0,60,953,536,60,536,953
2022,1,12,21,30,58,935,491,58,491,935
2022,1,12,22,0,55,910,432,55,432,910
2022,1,12,22,30,51,871,362,51,362,871
2022,1,12,23,0,46,814,281,46,281,814
2022,1,12,23,30,97,728,193,40,155,276
2022,1,13,0,0,67,586,104,30,84,135
2022,1,13,0,30,15,326,28,15,28,326
2022,1,13,1,0,0,0,0,0,0,0
2022,1,13,1,30,0,0,0,0,0,0
2022,1,13,2,0,0,0,0,0,0,0
2022,1,13,2,30,0,0,0,0,0,0
