x1,x2,x3,x4,x5
1.3288674174485116e9,1.3302552396955376e9,1.3318874521664257e9,1.332933934888124e9,1.3343789451995585e9
1.3288674174485116e9,1.3275315854354146e9,1.3282694458117704e9,1.329109436763699e9,1.3293420997634232e9
1.3288674174485116e9,1.3284752780124297e9,1.3289054242252147e9,1.328478138358728e9,1.3292250994554803e9
1.3288674174485116e9,1.3289836208891208e9,1.328924225775396e9,1.3297949836541672e9,1.3313826687533467e9
1.3288674174485116e9,1.3296906895083222e9,1.330574805321363e9,1.3315891420134847e9,1.333854692605411e9
1.3288674174485116e9,1.3305562984599242e9,1.3320829688682275e9,1.333148683823444e9,1.33493598877588e9
1.3288674174485116e9,1.3278849397081966e9,1.3277553647500682e9,1.327065263047708e9,1.3274931274944975e9
1.3288674174485116e9,1.3297134740810254e9,1.3298708502164488e9,1.3283451899881897e9,1.327997157694735e9
1.3288674174485116e9,1.3282259961685388e9,1.329067353569169e9,1.3294337472489703e9,1.328651865923817e9
1.3288674174485116e9,1.328406797592815e9,1.3280957688979485e9,1.3279236107117352e9,1.3282895669148812e9
1.3288674174485116e9,1.3305478342353737e9,1.3314824651953664e9,1.332472356587473e9,1.3350679334550343e9
1.3288674174485116e9,1.3274620065872047e9,1.3264596024287715e9,1.3255675499653592e9,1.3254691273967924e9
1.3288674174485116e9,1.3283915353200014e9,1.3276928022621312e9,1.3276393545246296e9,1.3267049683874629e9
1.3288674174485116e9,1.3292828648206608e9,1.3288922074096193e9,1.3290795884030778e9,1.32883758178271e9
1.3288674174485116e9,1.3297039290032604e9,1.32832367634543e9,1.3299420097348902e9,1.3299691918681343e9
1.3288674174485116e9,1.3299515911006203e9,1.330802100618953e9,1.3318270190230212e9,1.3327581721375241e9
1.3288674174485116e9,1.3289862356504135e9,1.3285674184485798e9,1.3277206041243389e9,1.3269681735373878e9
1.3288674174485116e9,1.327823521072651e9,1.3278137035312393e9,1.3283747196723893e9,1.3290609603026426e9
1.3288674174485116e9,1.3276125874605167e9,1.3262878469315405e9,1.3260051870442243e9,1.3248517239214203e9
1.3288674174485116e9,1.3291685133821476e9,1.3285304553987153e9,1.3294384439557564e9,1.3294021051155286e9
1.3288674174485116e9,1.330354920045818e9,1.3313844255444129e9,1.330373380970715e9,1.3315406291291854e9
